"","logFC","logCPM","LR","PValue","FDR"
"GPCPD1",-0.127267143518537,5.72425549196065,1.37382026931971,0.2411565915305,0.99083117613231
"ILVBL",-0.104033919218778,5.56612646936344,1.37350165498239,0.241211160897535,0.99083117613231
"ZBTB43",-0.141143640252829,6.07415515080275,1.37348272427519,0.241214403649772,0.99083117613231
"RPL31",0.111318826688494,9.6157966036403,1.37333671855833,0.241239415610429,0.99083117613231
"POLI",-0.186817859640423,3.04914599862197,1.37239903743881,0.241400123208303,0.99083117613231
"USP9X",-0.0962299714442755,8.80366397526437,1.37190342315018,0.241485118338889,0.99083117613231
"SHB",-0.13698862642032,5.06326355989102,1.37177022844527,0.241507966708516,0.99083117613231
"NDRG1",-0.113082287580985,9.20086549838379,1.37173352198994,0.241514263837619,0.99083117613231
"ATXN2",-0.11717872418283,6.95129099110207,1.37172791216439,0.241515226241686,0.99083117613231
"HTRA2",0.124694385360095,4.54854154914669,1.37143237224569,0.241565934743436,0.99083117613231
"RPL15",0.105112540858083,10.4856776594077,1.37004148130387,0.241804756771546,0.99083117613231
"HIST1H3G",0.383106720488105,1.0660523825949,1.36999332192681,0.241813031092943,0.99083117613231
"UQCRHL",0.251647067843167,2.02521332410022,1.36852539190597,0.242065403405676,0.99083117613231
"TGS1",0.107977489935553,5.41159397880734,1.36834376244407,0.242096652148529,0.99083117613231
"ZNF519",0.286943318177445,1.3485671325258,1.36790084603805,0.24217287503508,0.99083117613231
"PCBP1",-0.124027632330327,4.26963119371976,1.36742561753077,0.242254691115803,0.99083117613231
"VDAC3",0.0892754773438477,6.61305141753969,1.3674171141625,0.242256155375459,0.99083117613231
"SUMF1",0.126206987607082,5.61903570638887,1.36716550425548,0.242299486877354,0.99083117613231
